simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
880,协和礼拜堂,福建路路口,120,0,False,120,0,False,0,False
881,协和礼拜堂,天主堂,80,0,False,80,0,False,0,False
882,福建路路口,黄荣远堂,60,0,False,60,0,False,0,False
883,协和礼拜堂,音乐厅,280,0,False,280,0,False,0,False
884,天主堂,福建路路口,40,0,False,40,0,False,0,False
885,天主堂,轮渡码头入口,180,500,True,230,0,False,50,True
886,陡坡B,福建路路口,140,0,False,140,0,False,0,False
887,音乐厅,天主堂,200,0,False,200,0,False,0,False
888,海天堂构,陡坡B,220,0,False,220,0,False,0,False
889,平路C,三岔路口A,60,0,False,60,0,False,0,False
890,许家园,海天堂构,50,10,False,50,10,False,0,False
891,平路C,福建路路口,160,0,False,160,0,False,0,False
892,许家园,协和礼拜堂,150,0,False,150,0,False,0,False
893,许家园,平路C,190,0,False,190,0,False,0,False
894,平路C,天主堂,120,0,False,120,0,False,0,False
895,福建路路口,天主堂,40,0,False,40,0,False,0,False
896,福建路路口,轮渡码头入口,220,500,True,270,0,False,50,True
897,平路C,音乐厅,320,0,False,320,0,False,0,False
898,轮渡码头入口,协和礼拜堂,100,500,True,150,0,False,50,True
899,陡坡B,三岔路口A,30,500,True,120,0,False,90,True
900,许家园,平路C,190,0,False,190,0,False,0,False
901,天主堂,陡坡B,100,0,False,100,0,False,0,False
902,轮渡码头入口,三岔路口A,50,0,False,50,0,False,0,False
903,黄荣远堂,福建路路口,60,0,False,60,0,False,0,False
904,轮渡码头入口,黄荣远堂,280,500,True,330,0,False,50,True
905,海天堂构,黄荣远堂,20,0,False,20,0,False,0,False
906,福建路路口,海天堂构,80,10,False,80,0,False,0,True
907,三岔路口A,天主堂,130,500,True,180,0,False,50,True
908,轮渡码头入口,音乐厅,380,500,True,430,0,False,50,True
909,轮渡码头入口,天主堂,180,500,True,230,0,False,50,True
910,许家园,协和礼拜堂,150,0,False,150,0,False,0,False
911,平路C,轮渡码头入口,110,0,False,110,0,False,0,False
912,三岔路口A,轮渡码头入口,50,0,False,50,0,False,0,False
913,三岔路口A,海天堂构,250,510,True,300,0,False,50,True
914,陡坡B,黄荣远堂,200,0,False,200,0,False,0,False
915,陡坡B,轮渡码头入口,80,500,True,170,0,False,90,True
916,天主堂,三岔路口A,130,500,True,180,0,False,50,True
917,三岔路口A,协和礼拜堂,50,500,True,100,0,False,50,True
918,天主堂,音乐厅,200,0,False,200,0,False,0,False
919,海天堂构,轮渡码头入口,300,500,True,350,0,False,50,True
920,许家园,陡坡B,170,0,False,170,0,False,0,False
921,天主堂,平路C,120,0,False,120,0,False,0,False
922,协和礼拜堂,海天堂构,200,10,False,200,0,False,0,True
923,黄荣远堂,协和礼拜堂,180,0,False,180,0,False,0,False
924,陡坡B,天主堂,100,0,False,100,0,False,0,False
925,天主堂,海天堂构,120,10,False,120,0,False,0,True
926,许家园,三岔路口A,200,500,True,250,0,False,50,True
927,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
928,许家园,平路C,190,0,False,190,0,False,0,False
929,陡坡B,音乐厅,300,0,False,300,0,False,0,False
930,陡坡B,平路C,60,0,False,60,0,False,0,False
931,许家园,音乐厅,170,10,False,170,10,False,0,False
932,海天堂构,平路C,240,0,False,240,0,False,0,False
933,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
934,三岔路口A,天主堂,130,500,True,180,0,False,50,True
935,福建路路口,天主堂,40,0,False,40,0,False,0,False
936,天主堂,海天堂构,120,10,False,120,0,False,0,True
937,陡坡B,福建路路口,140,0,False,140,0,False,0,False
938,平路C,天主堂,120,0,False,120,0,False,0,False
939,陡坡B,海天堂构,220,10,False,220,0,False,0,True
