simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
47,仰高别墅,鹿礁路口,310,950,True,330,450,True
48,鹿礁路口,福建路中段,180,550,True,200,50,False
49,仰高别墅,黄荣远堂,100,410,True,100,410,True
50,协和礼拜堂,轮渡码头入口,80,0,False,80,0,False
51,海天堂构,李传别宅,130,30,False,130,30,False
52,轮渡码头入口,协和礼拜堂,80,0,False,80,0,False
53,协和礼拜堂,仰高别墅,280,950,True,360,450,True
54,鹿礁路口,黄荣远堂,220,570,True,240,70,False
55,海天堂构,许家园,70,20,False,70,20,False
56,轮渡码头入口,仰高别墅,360,950,True,380,450,True
57,海天堂构,黄荣远堂,40,10,False,40,10,False
58,李传别宅,协和礼拜堂,90,520,True,170,20,False
59,海天堂构,仰高别墅,60,400,True,60,400,True
60,李传别宅,福建路中段,60,30,False,60,30,False
61,轮渡码头入口,海天堂构,300,550,True,320,50,False
62,李传别宅,天主堂,50,20,False,50,20,False
63,福建路中段,黄荣远堂,40,20,False,40,20,False
64,福建路中段,鹿礁路口,180,550,True,200,50,False
65,轮渡码头入口,李传别宅,170,520,True,190,20,False
66,许家园,海天堂构,70,20,False,70,20,False
67,海天堂构,黄荣远堂,40,10,False,40,10,False
68,轮渡码头入口,福建路中段,230,550,True,250,50,False
69,鹿礁路口,仰高别墅,310,950,True,330,450,True
70,福建路中段,天主堂,110,50,False,110,50,False
71,鹿礁路口,黄荣远堂,220,570,True,240,70,False
72,协和礼拜堂,黄荣远堂,190,570,True,270,70,False
73,福建路中段,海天堂构,70,0,False,70,0,False
74,轮渡码头入口,协和礼拜堂,80,0,False,80,0,False
75,李传别宅,海天堂构,130,30,False,130,30,False
76,李传别宅,协和礼拜堂,90,520,True,170,20,False
77,福建路中段,海天堂构,70,0,False,70,0,False
78,黄荣远堂,鹿礁路口,220,570,True,240,70,False
79,轮渡码头入口,鹿礁路口,50,0,False,50,0,False
80,李传别宅,鹿礁路口,120,520,True,140,20,False
81,协和礼拜堂,许家园,220,580,True,300,80,False
82,海天堂构,福建路中段,70,0,False,70,0,False
83,海天堂构,协和礼拜堂,220,550,True,300,50,False
84,轮渡码头入口,李传别宅,170,520,True,190,20,False
85,李传别宅,鹿礁路口,120,520,True,140,20,False
86,李传别宅,黄荣远堂,100,50,False,100,50,False
87,天主堂,许家园,180,80,False,180,80,False
88,天主堂,福建路中段,110,50,False,110,50,False
89,协和礼拜堂,黄荣远堂,190,570,True,270,70,False
90,黄荣远堂,仰高别墅,100,410,True,100,410,True
91,仰高别墅,协和礼拜堂,280,950,True,360,450,True
92,海天堂构,仰高别墅,60,400,True,60,400,True
93,鹿礁路口,黄荣远堂,220,570,True,240,70,False
94,黄荣远堂,协和礼拜堂,190,570,True,270,70,False
95,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
96,轮渡码头入口,李传别宅,170,520,True,190,20,False
97,福建路中段,天主堂,110,50,False,110,50,False
98,仰高别墅,许家园,130,420,True,130,420,True
99,黄荣远堂,鹿礁路口,220,570,True,240,70,False
100,海天堂构,轮渡码头入口,300,550,True,320,50,False
101,许家园,黄荣远堂,30,10,False,30,10,False
102,海天堂构,李传别宅,130,30,False,130,30,False
103,李传别宅,许家园,130,60,False,130,60,False
104,天主堂,鹿礁路口,70,500,True,90,0,False
105,福建路中段,天主堂,110,50,False,110,50,False
106,天主堂,李传别宅,50,20,False,50,20,False
107,李传别宅,协和礼拜堂,90,520,True,170,20,False
108,海天堂构,李传别宅,130,30,False,130,30,False
109,福建路中段,李传别宅,60,30,False,60,30,False
110,海天堂构,天主堂,180,50,False,180,50,False
111,轮渡码头入口,许家园,300,580,True,320,80,False
112,福建路中段,李传别宅,60,30,False,60,30,False
113,轮渡码头入口,海天堂构,300,550,True,320,50,False
114,天主堂,轮渡码头入口,120,500,True,140,0,False
115,天主堂,福建路中段,110,50,False,110,50,False
116,协和礼拜堂,轮渡码头入口,80,0,False,80,0,False
117,仰高别墅,轮渡码头入口,360,950,True,380,450,True
118,福建路中段,天主堂,110,50,False,110,50,False
119,海天堂构,许家园,70,20,False,70,20,False
120,天主堂,仰高别墅,240,450,True,240,450,True
121,鹿礁路口,黄荣远堂,220,570,True,240,70,False
122,轮渡码头入口,李传别宅,170,520,True,190,20,False
123,天主堂,许家园,180,80,False,180,80,False
124,仰高别墅,黄荣远堂,100,410,True,100,410,True
125,海天堂构,仰高别墅,60,400,True,60,400,True
126,天主堂,鹿礁路口,70,500,True,90,0,False
127,海天堂构,轮渡码头入口,300,550,True,320,50,False
128,黄荣远堂,李传别宅,100,50,False,100,50,False
129,李传别宅,轮渡码头入口,170,520,True,190,20,False
130,李传别宅,福建路中段,60,30,False,60,30,False
131,轮渡码头入口,天主堂,120,500,True,140,0,False
132,福建路中段,李传别宅,60,30,False,60,30,False
133,天主堂,海天堂构,180,50,False,180,50,False
134,鹿礁路口,福建路中段,180,550,True,200,50,False
135,黄荣远堂,福建路中段,40,20,False,40,20,False
136,天主堂,协和礼拜堂,40,500,True,120,0,False
137,李传别宅,许家园,130,60,False,130,60,False
138,天主堂,轮渡码头入口,120,500,True,140,0,False
139,福建路中段,天主堂,110,50,False,110,50,False
140,黄荣远堂,天主堂,150,70,False,150,70,False
141,协和礼拜堂,许家园,220,580,True,300,80,False
142,协和礼拜堂,李传别宅,90,520,True,170,20,False
143,李传别宅,仰高别墅,190,430,True,190,430,True
144,黄荣远堂,海天堂构,40,10,False,40,10,False
145,天主堂,鹿礁路口,70,500,True,90,0,False
146,许家园,轮渡码头入口,300,580,True,320,80,False
147,仰高别墅,轮渡码头入口,360,950,True,380,450,True
148,鹿礁路口,福建路中段,180,550,True,200,50,False
149,天主堂,仰高别墅,240,450,True,240,450,True
150,海天堂构,仰高别墅,60,400,True,60,400,True
151,许家园,海天堂构,70,20,False,70,20,False
152,福建路中段,仰高别墅,130,400,True,130,400,True
153,李传别宅,天主堂,50,20,False,50,20,False
154,协和礼拜堂,黄荣远堂,190,570,True,270,70,False
155,海天堂构,仰高别墅,60,400,True,60,400,True
156,天主堂,许家园,180,80,False,180,80,False
157,天主堂,仰高别墅,240,450,True,240,450,True
158,仰高别墅,协和礼拜堂,280,950,True,360,450,True
159,鹿礁路口,仰高别墅,310,950,True,330,450,True
